name,display,id,object_type,natural_slug,content_types,color,description,weight,created,last_updated
access-switch,access-switch,304d5a5d-7b1d-45d7-864d-f4ed39f50915,extras.role,access-switch_304d,dcim.device,cddc39,Device is an access switch at the location,100,2026-02-08T17:05:37.214836Z,2026-03-30T22:15:54.201774Z
aggregation-router,aggregation-router,39ae28d7-860e-42b1-9d86-1b83eb4ab015,extras.role,aggregation-router_39ae,dcim.device,4caf50,,100,2026-03-03T17:09:15.390006Z,2026-03-30T22:15:54.209231Z
apn-router,apn-router,97b0127a-da21-45a1-83ef-ad8c523cac00,extras.role,apn-router_97b0,dcim.device,3f51b5,,100,2026-03-30T22:14:35.214312Z,2026-04-20T04:41:09.101706Z
cable-mgmt,cable-mgmt,0d07ac23-c9a5-4a3d-bdbf-96942f641216,extras.role,cable-mgmt_0d07,dcim.device,111111,,100,2026-02-08T17:05:37.286144Z,2026-04-20T04:41:19.263533Z
console-server,console-server,a9fdb330-57b2-43a1-880b-8aa51eaf08d9,extras.role,console-server_a9fd,dcim.device,ffc107,,100,2026-04-20T04:43:04.468664Z,2026-04-20T04:43:04.468691Z
core-router,core-router,cfc4f4aa-cfb0-492d-9f06-19e2b5e53215,extras.role,core-router_cfc4,dcim.device,aa1409,Device is a CORE ROUTER,100,2026-02-08T17:05:37.351555Z,2026-03-30T22:15:54.224668Z
core-switch,core-switch,8f11f33f-aab4-447d-8728-0c11ede36557,extras.role,core-switch_8f11,dcim.device,673ab7,,100,2026-04-20T04:44:12.676872Z,2026-04-20T04:44:12.676902Z
distribution-switch,distribution-switch,4004007d-deff-4dc2-b34e-05b6980d35f6,extras.role,distribution-switch_4004,dcim.device,8bc34a,Device is an distribution switch at the location,100,2026-02-08T17:05:37.380057Z,2026-03-30T22:15:54.235421Z
edge-router,edge-router,97d5ecf8-d5df-4188-bc4f-ceeb573cabce,extras.role,edge-router_97d5,dcim.device,e91e63,Device is an edge router,100,2026-02-08T17:05:37.486970Z,2026-03-30T22:15:54.245998Z
edge-switch,edge-switch,771fd89e-48ac-4f59-ac50-8aa074d26234,extras.role,edge-switch_771f,dcim.device,2196f3,Device is an edge switch at the location,100,2026-02-08T17:05:37.518917Z,2026-03-30T22:15:54.255073Z
firewall,firewall,b4f8079d-1b45-4d3d-bfc6-e6751ff272d1,extras.role,firewall_b4f8,dcim.device,aa1409,Device is a firewall at location,100,2026-02-08T17:05:37.603149Z,2026-03-30T22:15:54.264885Z
internet-router,internet-router,09028514-ac67-41ec-8f25-777e6e795aa0,extras.role,internet-router_0902,dcim.device,cddc39,,100,2026-03-03T17:26:37.991444Z,2026-03-30T22:15:54.272095Z
leaf,leaf,20a5dfae-ea6d-4511-9b86-7da2e0a00822,extras.role,leaf_20a5,dcim.device,00bcd4,,100,2026-02-03T18:20:03.860686Z,2026-03-30T22:17:35.252245Z
load-balancer,load-balancer,e3f69ed1-3406-4345-a291-e62fcfd0c5c1,extras.role,load-balancer_e3f6,dcim.device,795548,,100,2026-03-03T17:11:35.030476Z,2026-03-30T22:15:54.287626Z
Network Device,Network Device,9079f16a-e71a-4bad-a259-0fcfb68afd73,extras.role,network-device_9079,dcim.device,9e9e9e,,100,2025-12-21T03:42:40.735620Z,2026-03-30T22:15:54.294382Z
Patch Panel,Patch Panel,cd07500d-2c59-4dd2-92f3-d29bc137e978,extras.role,patch-panel_cd07,dcim.device,ffffff,,100,2026-02-08T17:05:37.782784Z,2026-03-30T22:15:54.301473Z
primary-router,primary-router,8fa8ac33-3642-414f-acc4-735031b99d93,extras.role,primary-router_8fa8,dcim.device,03a9f4,Device is the primary router at the location,100,2026-02-08T17:05:37.875758Z,2026-03-30T22:15:54.308330Z
